#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
118,"Rueda, Rueda","Eddy Lover",130,5A,85,2026-06-23,03:28,0,"reggaetón, trap latino, latina, urbano latino","Rueda, Rueda",2014-04-08,74,10,0,87,0,0,-5,C Minor,4,58PqAWDqA6mfcQKt45nEax,ES16I1400041,no
119,"Me Emborracharè","Grupo Extra",124,10A,88,2026-06-23,03:59,55,"flamenco","Salsa Classics - The Best Latin Hits of All Times",2021-06-11,70,13,0,83,0,30,-3,B Minor,4,6Dz1e7dioURyYCP26FGLF6,CH9181800019,no
120,"Princesas","Pereza",132,9B,85,2026-06-23,03:36,67,"","Animales",2005-04-07,68,6,0,71,0,30,-4,G Major,4,3hlWUNjAlbZ6nOjAbrivBv,ES5020500059,no
121,"Caminando por la vida","Melendi",108,7B,96,2026-06-23,03:31,68,"","Que El Cielo Espere Sentao..",2005-00-00,70,1,0,71,0,10,-4,F Major,4,3v1dCP3hk2djfWryqfp7sx,ES5080600400,no
122,"Aquí No Hay Playa","The Refrescos",168,11B,95,2026-06-23,03:37,55,"","The Refrescos",1989-01-01,58,28,0,95,0,10,-8,A Major,4,4PRJD9T23GQKQYKhJQcGGY,ES5709900391,no
123,"Ateo","C. Tangana,NATHY PELUSO",130,12A,74,2026-06-23,03:59,62,"reggaetón, latina, urbano latino, bachata","Ateo",2021-10-07,83,14,0,73,0,10,-4,C♯/D♭ Minor,4,5xiAfKzE3mbxYbOkUZPR11,ES5022101546,no
124,"Bien Duro","C. Tangana",101,9B,67,2026-06-23,03:02,54,"","Bien Duro",2018-06-22,85,16,2,69,20,10,-6,G Major,4,3joo84oco9CD4dBsKNWRRW,ES5021800325,no
125,"Todos los días sale el sol","Bongo Botrako",192,10B,91,2026-06-23,02:26,61,"timba","Todos Los Días Sale El Sol",2010-10-31,59,3,0,89,20,0,-4,D Major,4,1tmwswvJnwOIrskyCKVsgv,ES7311000083,no
126,"LA CANCIÓN","J Balvin,Bad Bunny",176,9B,65,2026-06-23,04:02,90,"pop latino, rock latino","OASIS",2019-06-28,76,15,0,43,30,10,-6,G Major,4,0fea68AdmYNygeTGI4RC18,USUM71911618,no
127,"Demasiadas Mujeres","C. Tangana",126,8A,46,2026-06-23,02:33,54,"","Demasiadas Mujeres",2020-10-08,67,13,0,37,30,10,-7,A Minor,4,2iUz95Osgl4fFZbNJ0xuoD,ES5022000710,no
